timestamp,key,event
73498.7506969,ATTACK,press
73498.888663986,ATTACK,release
73499.552555091,ATTACK,press
73499.712437856,ATTACK,release
73500.050536919,ATTACK,press
73500.211971396,ATTACK,release
73500.87523704,DOWN,press
73501.163428568,ATTACK,press
73501.300059156,ATTACK,release
73501.650746894,DOWN,release
73502.062276647,UP,press
73502.339773133,ATTACK,press
73502.512178635,ATTACK,release
73502.837278299,ATTACK,press
73503.037715737,ATTACK,release
73503.246980616,ATTACK,press
73503.437096626,ATTACK,release
73503.575410855,UP,release
73504.02475557,LEFT,press
73504.343646415,ATTACK,press
73504.563683514,ATTACK,release
73504.674988886,LEFT,release
73505.127344747,LEFT,press
73505.476217273,ATTACK,press
73505.525604647,LEFT,release
73505.68830766,ATTACK,release
73505.894501517,LEFT,press
73506.289262843,LEFT,release
73506.321087455,ATTACK,press
73506.51225425,ATTACK,release
73506.675741851,LEFT,press
73506.975956703,LEFT,release
73507.06984698,ATTACK,press
73507.300336143,ATTACK,release
73507.500177949,LEFT,press
73507.737219039,LEFT,release
73507.954734775,ATTACK,press
73508.213061863,ATTACK,release
73508.350440159,LEFT,press
73508.612503991,ATTACK,press
73508.687747872,LEFT,release
73508.88356654,ATTACK,release
73509.455075951,LEFT,press
73509.625416896,LEFT,release
73509.677740171,ATTACK,press
73509.863071251,ATTACK,release
73510.187605856,LEFT,press
73510.37549327,LEFT,release
73510.476382691,ATTACK,press
73510.675630756,ATTACK,release
73510.862927165,RIGHT,press
73511.037737244,RIGHT,release
73511.177296594,ATTACK,press
73511.377222133,ATTACK,release
73511.626063328,LEFT,press
73511.780253926,ATTACK,press
73511.789524555,LEFT,release
73511.999862426,ATTACK,release
73512.163433863,LEFT,press
73512.337361985,LEFT,release
73512.439754738,ATTACK,press
73512.625820157,ATTACK,release
73512.813104084,UP,press
73513.012841631,ATTACK,press
73513.215514059,ATTACK,release
73513.263098665,UP,release
73513.489994597,DOWN,press
73513.717862766,ATTACK,press
73513.941166918,ATTACK,release
